1.92e+02,1.57e+01,8.63e+01,3.08e-01,1.25e+03,1.25e+03,2.51e-01,2.51e-01,4.08e+01,4.08e+01,7.62e+01,7.00e+00,3.00e+00
3.84e+02,3.07e+01,7.20e+02,3.19e-01,1.69e+03,1.69e+03,2.98e-01,2.98e-01,4.18e+01,4.18e+01,8.70e+01,7.00e+00,2.00e+00
5.76e+02,3.84e+01,1.35e+03,2.08e-01,3.75e+02,3.75e+02,7.21e-01,7.21e-01,6.37e+01,6.37e+01,7.95e+01,7.00e+00,2.00e+00
7.68e+02,3.60e+01,1.16e+03,2.91e-01,5.68e+01,5.68e+01,5.00e-01,5.00e-01,6.80e+01,6.80e+01,7.39e+01,7.00e+00,2.00e+00
9.60e+02,3.80e+01,1.37e+03,3.19e-01,5.41e+00,5.41e+00,5.70e-01,5.70e-01,7.55e+01,7.55e+01,7.86e+01,7.00e+00,2.00e+00
1.15e+03,3.85e+01,9.68e+02,3.62e-01,5.41e+00,9.62e+00,5.70e-01,4.63e-01,7.47e+01,7.55e+01,7.86e+01,8.00e+00,3.00e+00
1.34e+03,5.85e+01,4.53e+02,4.12e-01,8.34e+00,8.34e+00,5.11e-01,5.11e-01,7.72e+01,7.72e+01,7.95e+01,9.00e+00,6.00e+00
1.54e+03,4.93e+01,8.00e+01,5.08e-01,8.34e+00,6.82e+01,5.11e-01,5.93e-01,6.66e+01,7.72e+01,7.95e+01,9.00e+00,7.00e+00
1.73e+03,6.34e+01,1.20e+02,5.46e-01,9.82e+01,9.82e+01,5.71e-01,5.71e-01,8.30e+01,8.30e+01,9.04e+01,1.00e+01,8.00e+00
1.92e+03,7.03e+01,2.79e+02,4.91e-01,6.45e+01,6.45e+01,5.92e-01,5.92e-01,8.63e+01,8.63e+01,9.57e+01,9.00e+00,8.00e+00
2.11e+03,4.38e+01,4.37e+02,4.89e-01,6.45e+01,2.46e+01,5.92e-01,5.49e-01,7.66e+01,8.63e+01,9.57e+01,9.00e+00,7.00e+00
2.30e+03,6.37e+01,1.32e+02,5.48e-01,6.45e+01,1.66e+01,5.92e-01,6.71e-01,8.27e+01,8.63e+01,9.57e+01,1.10e+01,9.00e+00
2.50e+03,6.43e+01,1.02e+02,5.14e-01,6.45e+01,7.07e+01,5.92e-01,7.79e-01,7.76e+01,8.63e+01,9.57e+01,1.10e+01,1.00e+01
2.69e+03,7.35e+01,3.44e+01,5.76e-01,6.45e+01,1.15e+01,5.92e-01,6.54e-01,7.85e+01,8.63e+01,9.57e+01,1.10e+01,9.00e+00
2.88e+03,6.96e+01,4.39e+01,5.70e-01,6.45e+01,7.05e+00,5.92e-01,6.78e-01,7.52e+01,8.63e+01,9.57e+01,1.10e+01,9.00e+00
3.07e+03,7.15e+01,8.91e+01,5.38e-01,6.45e+01,1.22e+02,5.92e-01,6.64e-01,7.67e+01,8.63e+01,9.57e+01,1.00e+01,8.00e+00
3.26e+03,7.53e+01,1.21e+01,5.51e-01,6.45e+01,2.39e+01,5.92e-01,6.64e-01,7.78e+01,8.63e+01,9.57e+01,1.00e+01,9.00e+00
3.46e+03,7.08e+01,1.00e+02,6.24e-01,6.45e+01,8.15e+01,5.92e-01,7.41e-01,8.24e+01,8.63e+01,9.57e+01,1.10e+01,1.00e+01
3.65e+03,7.57e+01,8.59e+01,6.11e-01,6.45e+01,2.70e+01,5.92e-01,6.68e-01,8.10e+01,8.63e+01,9.57e+01,1.10e+01,1.00e+01
3.84e+03,7.09e+01,3.58e+01,6.03e-01,6.45e+01,3.22e+01,5.92e-01,5.82e-01,7.51e+01,8.63e+01,9.57e+01,1.00e+01,1.00e+01
4.03e+03,7.24e+01,3.86e+02,5.78e-01,6.45e+01,8.50e+01,5.92e-01,7.14e-01,8.17e+01,8.63e+01,9.57e+01,1.00e+01,1.00e+01
4.22e+03,6.86e+01,3.07e+02,5.77e-01,6.45e+01,3.53e+02,5.92e-01,6.85e-01,7.25e+01,8.63e+01,9.57e+01,1.00e+01,9.50e+00
4.42e+03,6.73e+01,1.07e+02,5.71e-01,6.45e+01,1.16e+01,5.92e-01,6.04e-01,7.28e+01,8.63e+01,9.57e+01,1.00e+01,1.00e+01
4.61e+03,6.78e+01,1.14e+02,6.45e-01,6.45e+01,3.01e+01,5.92e-01,7.43e-01,7.67e+01,8.63e+01,9.57e+01,1.10e+01,1.10e+01
4.80e+03,7.16e+01,8.80e+01,6.32e-01,6.45e+01,1.11e+01,5.92e-01,5.93e-01,7.83e+01,8.63e+01,9.57e+01,1.10e+01,1.10e+01
4.99e+03,7.44e+01,2.85e+01,5.90e-01,6.45e+01,6.43e+01,5.92e-01,8.75e-01,7.66e+01,8.63e+01,9.57e+01,1.20e+01,1.10e+01
