4.00e+00,4.91e+00,9.65e+00,5.97e+00,5.97e+00,1.01e+01,2.90e+01,2.40e+01
8.00e+00,6.23e+00,4.34e-01,9.64e+00,9.64e+00,1.02e+01,2.95e+01,2.75e+01
1.20e+01,9.60e+00,9.20e-01,1.10e+01,1.10e+01,1.26e+01,3.00e+01,3.20e+01
1.60e+01,9.60e+00,9.20e-01,1.06e+01,1.10e+01,1.26e+01,3.05e+01,3.50e+01
2.00e+01,7.50e+00,9.20e-01,9.38e+00,1.10e+01,1.26e+01,3.10e+01,3.75e+01
2.40e+01,7.76e+00,9.20e-01,9.39e+00,1.10e+01,1.26e+01,3.05e+01,4.00e+01
2.80e+01,8.18e+00,9.20e-01,9.59e+00,1.10e+01,1.26e+01,3.15e+01,4.55e+01
3.20e+01,9.40e+00,9.20e-01,1.08e+01,1.10e+01,1.26e+01,3.20e+01,5.30e+01
3.60e+01,9.40e+00,9.20e-01,1.04e+01,1.10e+01,1.26e+01,3.10e+01,5.55e+01
4.00e+01,9.34e+00,9.20e-01,1.04e+01,1.10e+01,1.26e+01,3.30e+01,5.70e+01
4.40e+01,1.00e+01,9.20e-01,1.02e+01,1.10e+01,1.26e+01,3.40e+01,5.95e+01
4.80e+01,1.02e+01,9.20e-01,1.02e+01,1.10e+01,1.26e+01,3.50e+01,6.05e+01
5.20e+01,9.94e+00,9.20e-01,1.01e+01,1.10e+01,1.26e+01,3.50e+01,6.65e+01
5.60e+01,9.84e+00,9.20e-01,1.01e+01,1.10e+01,1.26e+01,3.50e+01,6.80e+01
6.00e+01,9.18e+00,9.20e-01,9.85e+00,1.10e+01,1.26e+01,3.60e+01,7.10e+01
6.40e+01,9.14e+00,9.20e-01,9.82e+00,1.10e+01,1.26e+01,3.55e+01,7.20e+01
6.80e+01,9.64e+00,9.20e-01,9.88e+00,1.10e+01,1.26e+01,3.65e+01,7.60e+01
7.20e+01,9.90e+00,9.20e-01,9.91e+00,1.10e+01,1.26e+01,3.70e+01,7.95e+01
7.60e+01,9.88e+00,9.20e-01,9.90e+00,1.10e+01,1.26e+01,3.75e+01,8.10e+01
8.00e+01,9.42e+00,9.20e-01,1.00e+01,1.10e+01,1.26e+01,3.80e+01,8.40e+01
8.40e+01,1.01e+01,9.20e-01,1.03e+01,1.10e+01,1.26e+01,3.70e+01,8.50e+01
8.80e+01,1.02e+01,9.20e-01,1.04e+01,1.10e+01,1.26e+01,3.70e+01,8.90e+01
9.20e+01,1.02e+01,9.20e-01,1.04e+01,1.10e+01,1.26e+01,3.75e+01,9.05e+01
9.60e+01,1.03e+01,9.20e-01,1.06e+01,1.10e+01,1.26e+01,3.85e+01,9.30e+01
1.00e+02,1.02e+01,9.20e-01,1.06e+01,1.10e+01,1.26e+01,3.90e+01,9.50e+01
