1.88e+01,2.01e+01,2.60e+01
3.09e+00,1.99e+01,2.60e+01
1.80e+01,2.19e+01,2.50e+01
1.54e+01,2.01e+01,2.30e+01
1.82e+01,2.00e+01,2.70e+01
1.11e+01,3.02e+01,1.90e+01
1.44e+01,2.12e+01,2.30e+01
5.72e+00,2.03e+01,2.20e+01
1.61e+01,2.01e+01,2.80e+01
4.74e+00,2.01e+01,1.80e+01
1.83e+01,2.01e+01,2.50e+01
1.65e+01,2.01e+01,2.70e+01
1.53e+01,1.98e+01,2.40e+01
1.08e+01,2.01e+01,2.10e+01
1.52e+01,1.88e+01,2.40e+01
6.35e+00,1.72e+01,2.50e+01
1.63e+01,2.16e+01,2.20e+01
2.15e+00,1.24e+01,2.50e+01
7.29e+00,2.14e+01,2.90e+01
4.34e+00,2.14e+01,2.10e+01
4.54e+00,2.02e+01,2.50e+01
6.65e+00,2.03e+01,1.90e+01
-1.62e+01,1.92e+01,2.10e+01
1.47e+01,1.89e+01,1.60e+01
1.77e+01,2.01e+01,3.00e+01
1.66e+01,1.99e+01,2.60e+01
1.66e+01,1.83e+01,3.60e+01
8.45e+00,2.00e+01,2.90e+01
1.18e+00,1.71e+01,2.70e+01
1.83e+01,1.97e+01,2.40e+01
1.04e+01,1.77e+01,2.50e+01
1.46e+01,2.16e+01,2.30e+01
1.15e+01,2.01e+01,2.50e+01
5.10e+00,2.66e+01,1.80e+01
1.47e+01,2.01e+01,2.70e+01
1.61e+01,2.01e+01,2.10e+01
1.05e+01,1.99e+01,3.20e+01
1.91e+01,2.65e+01,2.80e+01
6.40e+00,2.07e+01,2.70e+01
1.82e+01,2.01e+01,2.10e+01
1.11e+01,2.12e+01,2.60e+01
1.80e+01,2.38e+01,2.00e+01
1.83e+01,2.01e+01,2.50e+01
1.99e+01,2.29e+01,2.40e+01
1.76e+01,1.96e+01,2.20e+01
6.46e+00,2.03e+01,2.30e+01
1.82e+01,1.99e+01,2.80e+01
1.14e+01,2.03e+01,2.30e+01
1.41e+01,1.96e+01,1.90e+01
1.89e+01,1.99e+01,3.60e+01
1.83e+01,2.01e+01,2.80e+01
5.54e+00,2.25e+01,2.60e+01
1.15e+01,2.16e+01,3.10e+01
1.72e+01,2.00e+01,2.60e+01
1.69e+01,2.02e+01,2.30e+01
9.02e+00,2.29e+01,3.10e+01
1.07e+01,2.03e+01,3.10e+01
1.30e+01,2.17e+01,3.10e+01
5.05e+00,2.07e+01,2.30e+01
1.74e+01,2.01e+01,2.90e+01
1.63e+01,2.01e+01,3.50e+01
1.00e+01,2.13e+01,2.90e+01
6.51e+00,2.01e+01,2.50e+01
1.08e+01,2.26e+01,2.60e+01
-6.95e+00,1.13e+01,2.20e+01
1.77e+01,2.19e+01,1.80e+01
1.52e+01,2.01e+01,2.70e+01
1.83e+01,2.01e+01,2.30e+01
8.03e+00,2.08e+01,1.70e+01
2.60e+00,1.98e+01,2.30e+01
1.77e+01,1.95e+01,2.40e+01
1.26e+01,1.87e+01,2.50e+01
7.77e+00,2.03e+01,2.00e+01
2.37e+00,2.12e+01,1.30e+01
2.90e+00,2.06e+01,2.30e+01
1.29e+01,1.95e+01,2.90e+01
7.19e+00,1.80e+01,2.60e+01
1.41e+01,1.81e+01,2.80e+01
1.54e+01,2.01e+01,2.50e+01
1.29e+01,2.00e+01,2.50e+01
1.66e+01,1.98e+01,2.40e+01
5.99e+00,2.00e+01,2.60e+01
1.08e+01,2.23e+01,2.20e+01
1.83e+01,2.01e+01,3.10e+01
1.10e+01,2.03e+01,2.50e+01
1.95e+01,2.33e+01,2.50e+01
1.52e+01,2.12e+01,2.20e+01
1.78e+01,1.97e+01,3.20e+01
1.81e+01,2.02e+01,2.90e+01
1.71e+01,1.95e+01,2.50e+01
1.90e+01,2.00e+01,2.10e+01
1.82e+01,2.01e+01,2.10e+01
1.79e+01,1.98e+01,2.20e+01
1.64e+01,2.01e+01,2.70e+01
1.07e+01,2.00e+01,3.20e+01
