6.85e+00,8.79e+00,2.10e+01,5.00e-01,9.71e+00,3.00e+01,2.73e-01,9.31e+00,3.00e+01,4.98e-01,9.70e+00,3.00e+01,7.72e-01,9.68e+00,3.00e+01,6.99e-01,9.61e+00,3.00e+01,1.24e+00,1.01e+01,3.10e+01,6.36e-01,9.24e+00,3.00e+01,-1.73e-01,9.29e+00,3.00e+01,8.51e-01,1.01e+01,3.00e+01,8.51e-01,1.01e+01,3.00e+01
4.42e+00,9.33e+00,2.60e+01,2.63e+00,1.14e+01,2.40e+01,3.52e-01,9.30e+00,3.00e+01,9.02e-01,1.01e+01,3.00e+01,1.39e-01,9.66e+00,3.00e+01,6.53e-01,9.61e+00,3.00e+01,1.43e+00,1.01e+01,3.10e+01,7.52e+00,1.00e+01,3.10e+01,6.94e-01,9.60e+00,3.20e+01,7.86e-02,9.65e+00,3.00e+01,7.86e-02,9.65e+00,3.00e+01
2.62e+00,8.44e+00,2.40e+01,-1.66e-01,9.32e+00,3.00e+01,1.70e+00,8.40e+00,2.50e+01,9.66e-01,9.32e+00,3.10e+01,1.63e-01,9.69e+00,3.00e+01,-2.98e-01,9.30e+00,3.00e+01,1.05e+00,9.68e+00,3.00e+01,-7.72e-02,9.24e+00,3.10e+01,4.19e-01,9.61e+00,3.00e+01,2.64e-01,1.01e+01,3.00e+01,2.64e-01,1.01e+01,3.00e+01
9.12e+00,1.01e+01,2.50e+01,3.29e+00,8.37e+00,2.00e+01,8.28e+00,9.53e+00,2.30e+01,8.75e+00,9.32e+00,3.10e+01,1.24e+00,9.69e+00,3.10e+01,1.13e+00,9.65e+00,3.00e+01,2.07e-01,1.01e+01,3.00e+01,4.04e-02,9.30e+00,3.00e+01,4.84e-01,8.91e+00,3.20e+01,2.39e-01,1.01e+01,3.00e+01,2.39e-01,1.01e+01,3.00e+01
8.25e+00,9.71e+00,2.90e+01,1.45e+00,8.52e+00,2.40e+01,5.05e-02,9.31e+00,3.10e+01,3.22e-01,9.68e+00,3.10e+01,1.16e-01,9.27e+00,3.00e+01,1.12e+00,9.26e+00,3.10e+01,4.82e-01,9.67e+00,3.00e+01,1.33e+00,9.69e+00,3.20e+01,3.75e-01,9.27e+00,3.00e+01,-6.79e-02,9.71e+00,3.00e+01,-6.79e-02,9.71e+00,3.00e+01
6.98e+00,1.05e+01,3.00e+01,1.35e+00,1.01e+01,2.50e+01,4.44e-01,1.01e+01,3.00e+01,5.18e-01,9.68e+00,3.00e+01,5.80e+00,9.42e+00,3.10e+01,3.74e-01,9.22e+00,3.10e+01,5.32e-01,8.89e+00,3.10e+01,1.49e+00,9.66e+00,3.10e+01,7.24e-01,9.97e+00,3.00e+01,3.43e-01,9.30e+00,3.10e+01,3.43e-01,9.30e+00,3.10e+01
4.98e+00,1.06e+01,2.20e+01,1.87e+00,1.00e+01,2.40e+01,1.17e-01,9.31e+00,3.00e+01,4.82e-01,1.01e+01,3.20e+01,3.35e-01,9.27e+00,3.00e+01,4.59e-01,9.70e+00,3.00e+01,1.12e+00,9.68e+00,3.20e+01,5.14e-01,8.94e+00,3.00e+01,9.14e-01,9.27e+00,3.00e+01,7.52e-01,9.65e+00,3.00e+01,7.52e-01,9.65e+00,3.00e+01
8.12e-01,9.71e+00,3.00e+01,4.40e+00,9.71e+00,2.60e+01,9.60e-02,9.31e+00,3.10e+01,4.20e+00,1.01e+01,3.10e+01,9.24e-01,1.01e+01,3.00e+01,3.11e-01,9.22e+00,3.00e+01,1.46e+00,9.67e+00,3.10e+01,8.03e-01,1.00e+01,3.00e+01,4.60e-01,9.62e+00,3.00e+01,1.73e-01,9.65e+00,3.00e+01,1.73e-01,9.65e+00,3.00e+01
5.39e+00,9.21e+00,2.00e+01,8.51e+00,9.47e+00,2.30e+01,5.31e-01,9.68e+00,3.00e+01,2.30e-01,9.68e+00,3.10e+01,-7.18e-02,9.68e+00,3.30e+01,1.37e+00,1.01e+01,3.10e+01,4.30e-01,9.25e+00,3.00e+01,6.19e-01,9.24e+00,3.10e+01,3.34e-01,9.25e+00,3.00e+01,9.39e-01,1.01e+01,3.10e+01,9.39e-01,1.01e+01,3.10e+01
7.31e+00,9.47e+00,2.20e+01,2.35e+00,1.07e+01,2.50e+01,5.88e-01,9.26e+00,3.00e+01,3.96e-01,9.25e+00,3.20e+01,4.19e-01,9.27e+00,3.10e+01,7.72e+00,9.66e+00,3.10e+01,7.58e-01,1.01e+01,3.00e+01,3.25e-01,9.63e+00,3.00e+01,-2.53e+00,3.95e+00,3.10e+01,8.84e-01,9.65e+00,3.20e+01,8.84e-01,9.65e+00,3.20e+01
