2.58e+01,6.98e+01,5.00e+00
3.29e+01,6.11e+01,4.00e+00
4.41e+01,8.66e+01,4.00e+00
2.93e+01,5.96e+01,2.00e+00
9.73e+00,3.08e+01,3.00e+00
3.89e+01,8.23e+01,4.00e+00
3.13e+01,5.80e+01,3.00e+00
7.78e+00,1.33e+01,2.00e+00
2.77e+01,7.82e+01,2.00e+00
4.80e+00,9.97e+00,1.00e+00
5.14e+00,1.07e+01,5.00e+00
6.34e+00,1.01e+01,2.00e+00
7.52e+00,1.55e+01,4.00e+00
1.01e+01,1.36e+01,2.00e+00
3.70e+01,7.61e+01,4.00e+00
3.64e+01,8.29e+01,3.00e+00
1.11e+01,1.34e+01,1.00e+00
3.25e+01,5.77e+01,5.00e+00
3.26e+01,7.86e+01,4.00e+00
2.67e+01,6.51e+01,5.00e+00
2.96e+01,5.89e+01,3.00e+00
3.32e+01,7.34e+01,5.00e+00
8.69e+00,1.44e+01,2.00e+00
3.03e+01,5.89e+01,4.00e+00
9.99e-01,2.23e+00,2.00e+00
3.34e+01,8.03e+01,2.00e+00
3.30e+01,6.19e+01,3.00e+00
3.46e+01,7.61e+01,5.00e+00
3.36e+01,6.09e+01,3.00e+00
6.89e+00,1.38e+01,4.00e+00
3.12e+01,5.94e+01,6.00e+00
1.76e+01,4.72e+01,1.00e+00
4.99e+00,1.03e+01,1.00e+00
1.99e+01,4.96e+01,3.00e+00
1.31e+01,2.09e+01,1.00e+00
3.59e+00,1.01e+01,3.00e+00
3.40e+01,6.29e+01,4.00e+00
3.26e+01,7.25e+01,5.00e+00
3.48e+01,6.51e+01,4.00e+00
3.15e+01,6.20e+01,6.00e+00
6.64e+00,1.29e+01,2.00e+00
3.66e+01,7.91e+01,5.00e+00
1.50e+01,5.22e+01,2.00e+00
7.82e-01,1.98e+00,0.00e+00
6.56e+00,1.30e+01,3.00e+00
7.93e+00,1.66e+01,3.00e+00
5.44e+00,1.26e+01,4.00e+00
5.23e+00,1.15e+01,2.00e+00
6.97e+00,1.41e+01,3.00e+00
6.79e+00,1.34e+01,4.00e+00
3.29e+01,6.33e+01,3.00e+00
5.71e+00,1.40e+01,4.00e+00
5.57e+00,1.20e+01,4.00e+00
2.69e+01,5.97e+01,2.00e+00
1.27e+01,2.17e+01,3.00e+00
3.29e+01,6.27e+01,3.00e+00
3.31e+01,6.95e+01,4.00e+00
3.37e+01,7.00e+01,3.00e+00
2.57e+01,5.83e+01,2.00e+00
5.80e+00,1.19e+01,3.00e+00
1.20e+01,1.87e+01,3.00e+00
1.23e+01,3.72e+01,3.00e+00
8.25e+00,1.60e+01,2.00e+00
3.08e+01,5.99e+01,3.00e+00
2.52e+01,5.65e+01,3.00e+00
8.33e+00,1.40e+01,3.00e+00
6.25e+00,1.29e+01,1.00e+00
3.65e+01,9.58e+01,4.00e+00
1.15e+01,2.41e+01,2.00e+00
5.83e+00,1.24e+01,2.00e+00
7.10e+00,1.45e+01,4.00e+00
1.07e+01,2.33e+01,2.00e+00
1.31e+01,2.46e+01,3.00e+00
1.19e+00,4.38e+00,2.00e+00
6.42e+00,1.28e+01,1.00e+00
1.69e+01,3.06e+01,3.00e+00
7.18e+00,1.39e+01,3.00e+00
7.94e+00,1.29e+01,2.00e+00
4.31e+01,9.25e+01,4.00e+00
1.20e+01,1.66e+01,1.00e+00
5.42e+00,1.10e+01,2.00e+00
5.67e+00,1.29e+01,4.00e+00
3.08e+01,6.05e+01,3.00e+00
1.21e+01,4.37e+01,2.00e+00
5.66e+00,1.28e+01,2.00e+00
6.37e+00,1.32e+01,3.00e+00
5.41e+00,1.23e+01,3.00e+00
3.27e+01,6.26e+01,2.00e+00
3.23e+01,6.20e+01,3.00e+00
6.62e+00,1.51e+01,4.00e+00
3.37e+01,6.39e+01,4.00e+00
9.87e+00,1.42e+01,2.00e+00
1.05e+00,2.05e+00,2.00e+00
3.01e+01,7.09e+01,2.00e+00
2.82e+01,6.86e+01,4.00e+00
3.12e+01,5.81e+01,5.00e+00
5.43e+00,1.03e+01,4.00e+00
2.63e+01,7.41e+01,2.00e+00
