1.92e+02,1.32e+01,1.31e+03,1.31e+03,4.07e+01,4.07e+01,9.61e+01,7.00e+00,3.00e+00
3.84e+02,3.09e+01,1.29e+03,1.29e+03,4.18e+01,4.18e+01,8.57e+01,7.00e+00,3.00e+00
5.76e+02,3.24e+01,4.14e+02,4.14e+02,4.78e+01,4.43e+01,8.42e+01,7.00e+00,3.00e+00
7.68e+02,2.92e+01,1.13e+01,1.13e+01,5.98e+01,5.99e+01,6.33e+01,7.00e+00,2.00e+00
9.60e+02,2.96e+01,1.34e+02,1.34e+02,7.06e+01,6.88e+01,8.41e+01,8.00e+00,2.00e+00
1.15e+03,4.22e+01,1.46e+02,1.46e+02,7.20e+01,6.94e+01,9.15e+01,8.00e+00,4.00e+00
1.34e+03,4.83e+01,2.71e+02,2.71e+02,7.70e+01,7.70e+01,1.09e+02,8.00e+00,3.00e+00
1.54e+03,4.74e+01,9.35e+01,9.35e+01,7.80e+01,7.80e+01,9.27e+01,8.00e+00,3.00e+00
1.73e+03,4.62e+01,3.05e+01,3.05e+01,8.00e+01,8.00e+01,8.85e+01,8.00e+00,3.00e+00
1.92e+03,5.17e+01,3.05e+01,2.70e+02,7.74e+01,8.00e+01,8.85e+01,8.00e+00,3.00e+00
2.11e+03,4.95e+01,3.05e+01,1.31e+02,7.93e+01,8.00e+01,8.85e+01,8.00e+00,4.00e+00
2.30e+03,5.29e+01,3.05e+01,2.04e+02,7.78e+01,8.00e+01,8.85e+01,8.00e+00,3.00e+00
2.50e+03,6.05e+01,3.55e+01,3.55e+01,8.10e+01,8.10e+01,9.27e+01,8.00e+00,4.00e+00
2.69e+03,6.06e+01,1.69e+01,1.69e+01,8.14e+01,8.14e+01,8.66e+01,8.00e+00,4.00e+00
2.88e+03,5.83e+01,1.69e+01,9.58e+01,8.02e+01,8.14e+01,8.66e+01,8.00e+00,4.00e+00
3.07e+03,5.85e+01,1.69e+01,1.06e+02,7.95e+01,8.14e+01,8.66e+01,8.00e+00,4.00e+00
3.26e+03,6.51e+01,1.69e+01,1.14e+02,8.04e+01,8.14e+01,8.66e+01,8.00e+00,5.00e+00
3.46e+03,6.42e+01,1.69e+01,4.63e+01,7.93e+01,8.14e+01,8.66e+01,8.00e+00,5.00e+00
3.65e+03,6.61e+01,1.69e+01,4.16e+01,7.98e+01,8.14e+01,8.66e+01,8.00e+00,5.00e+00
3.84e+03,6.69e+01,1.69e+01,5.72e+01,7.94e+01,8.14e+01,8.66e+01,8.00e+00,5.00e+00
4.03e+03,6.64e+01,1.69e+01,1.87e+02,7.84e+01,8.14e+01,8.66e+01,8.00e+00,5.00e+00
4.22e+03,6.67e+01,1.69e+01,5.00e+01,8.02e+01,8.14e+01,8.66e+01,8.00e+00,5.00e+00
4.42e+03,6.49e+01,1.69e+01,1.76e+02,7.95e+01,8.14e+01,8.66e+01,8.00e+00,5.00e+00
4.61e+03,6.59e+01,1.69e+01,1.06e+02,7.89e+01,8.14e+01,8.66e+01,8.00e+00,5.00e+00
4.80e+03,6.77e+01,1.69e+01,2.49e+01,7.91e+01,8.14e+01,8.66e+01,8.00e+00,5.00e+00
4.99e+03,6.53e+01,1.16e+02,1.16e+02,8.28e+01,8.28e+01,9.67e+01,8.00e+00,5.00e+00
